scenario,period,revenue,revenue_growth,ebit_margin,ebit,tax_rate,net_income,diluted_shares,eps,cfo,cfo_margin,capex,capex_pct_revenue,fcf,fcf_margin,source_or_assumption
Bear,FY2026E,472.600,13.6,30.8,145.561,16.5,121.543,14.65,8.30,137.0,29.0,10.6,2.2,126.4,26.7,A-001;A-003;S-008
Bear,FY2027E,489.141,3.5,31.0,151.634,16.5,126.614,14.65,8.64,140.0,28.6,11.5,2.4,128.5,26.3,A-002;A-003
Bear,FY2028E,503.815,3.0,31.0,156.183,16.5,130.413,14.60,8.93,145.0,28.8,12.4,2.5,132.6,26.3,A-002;A-003
Bear,FY2029E,518.930,3.0,31.0,160.868,16.5,134.325,14.55,9.23,150.0,28.9,13.3,2.6,136.7,26.3,A-002;A-003
Bear,FY2030E,534.498,3.0,31.0,165.694,16.5,138.355,14.50,9.54,155.0,29.0,14.2,2.7,140.8,26.3,A-002;A-003
Base,FY2026E,477.100,14.6,31.9,152.195,16.5,127.083,14.65,8.67,141.0,29.6,10.5,2.2,130.5,27.4,A-001;A-003;S-008
Base,FY2027E,508.111,6.5,32.1,163.105,16.5,136.192,14.60,9.33,154.0,30.3,11.7,2.3,142.3,28.0,A-002;A-003
Base,FY2028E,538.598,6.0,32.4,174.506,16.5,145.712,14.55,10.01,165.0,30.6,12.6,2.3,152.4,28.3,A-002;A-003
Base,FY2029E,570.914,6.0,32.5,185.547,16.5,154.932,14.50,10.69,176.8,31.0,13.5,2.4,163.3,28.6,A-002;A-003
Base,FY2030E,605.169,6.0,32.5,196.680,16.5,164.228,14.45,11.36,189.3,31.3,14.4,2.4,174.9,28.9,A-002;A-003
Bull,FY2026E,481.700,15.7,32.5,156.553,16.5,130.721,14.50,9.02,145.0,30.1,10.5,2.2,134.5,27.9,A-001;A-003;S-008
Bull,FY2027E,529.870,10.0,33.0,174.857,16.5,146.006,14.45,10.10,164.0,31.0,12.0,2.3,152.0,28.7,A-002;A-003
Bull,FY2028E,572.260,8.0,33.5,191.707,16.5,160.075,14.40,11.12,180.0,31.5,13.0,2.3,167.0,29.2,A-002;A-003
Bull,FY2029E,612.318,7.0,33.7,206.351,16.5,172.303,14.35,12.01,197.0,32.2,14.0,2.3,183.0,29.9,A-002;A-003
Bull,FY2030E,649.057,6.0,34.0,220.679,16.5,184.267,14.30,12.89,214.0,33.0,15.0,2.3,199.0,30.7,A-002;A-003
